City,Cloudiness (%),Country,Date,Humidity (%),Latitude,Longitude,Max Temp (F),Wind Speed (mph)
Saint-Philippe,90,RE,1581401208,94,-21.36,55.77,86.0,18.34
Yangi Marg`ilon,75,UZ,1581401208,87,40.43,71.72,44.6,6.93
Kaeo,0,NZ,1581401208,63,-35.1,173.78,75.0,1.01
Imeni Poliny Osipenko,100,RU,1581401209,89,52.42,136.49,5.47,7.76
Nuevo Progreso,27,MX,1581401209,93,23.17,-97.95,72.0,1.99
Coyhaique,67,CL,1581401209,76,-45.58,-72.07,57.2,5.82
Nefteyugansk,40,RU,1581401210,78,61.1,72.6,14.0,11.18
Timra,100,SE,1581401210,86,62.49,17.33,36.0,2.24
Kyra,41,RU,1581401211,74,49.58,111.98,31.87,3.02
Beitbridge,100,ZW,1581401211,90,-22.22,30.0,69.04,24.18
Dwarka,0,IN,1581401211,51,22.24,68.97,75.88,11.39
Baruun-Urt,100,MN,1581401212,72,46.68,113.28,25.12,16.53
Asau,44,RO,1581401212,80,46.43,26.4,34.0,3.36
Ulaangom,98,MN,1581401213,82,49.98,92.07,14.88,2.48
Provideniya,75,RU,1581401213,70,64.38,-173.3,-4.0,17.9
Byron Bay,75,AU,1581401103,83,-28.65,153.62,82.0,11.41
Fethiye,75,TR,1581401213,75,36.62,29.12,44.6,8.05
Knittelfeld,75,AT,1581401214,80,47.22,14.82,42.01,2.24
Anloga,20,GH,1581401214,94,5.79,0.9,78.8,1.12
Bafoulabe,0,ML,1581401214,14,13.81,-10.83,67.78,2.37
Barentu,36,ER,1581401214,63,15.11,37.59,61.47,4.83
Kagoro,2,NG,1581401215,15,9.6,8.38,67.69,9.33
Haines Junction,100,CA,1581401215,95,60.75,-137.51,14.32,9.28
Belmonte,40,BR,1581401215,83,-15.86,-38.88,78.8,6.93
Saint-Joseph,90,RE,1581401215,94,-21.37,55.62,86.0,18.34
Rio Gallegos,95,AR,1581401216,58,-51.62,-69.22,55.4,25.28
Kiruna,75,SE,1581401216,80,67.86,20.23,30.2,9.17
Nabire,100,ID,1581401216,89,-3.37,135.48,80.73,2.68
Tagusao,45,PH,1581401216,69,9.19,117.81,81.28,13.4
College,90,US,1581401217,83,64.86,-147.8,-4.0,5.82
Agirish,92,RU,1581401217,90,61.92,63.02,18.73,9.04
Port Hedland,0,AU,1581401217,59,-20.32,118.57,89.6,14.99
Meiktila,0,MM,1581401217,27,20.87,95.87,85.96,6.08
Dalby,75,AU,1581401217,78,-27.18,151.27,77.0,9.17
Twentynine Palms,1,US,1581401089,76,34.14,-116.05,55.4,12.75
Dalaba,0,GN,1581401218,30,10.7,-12.25,61.59,1.66
Eureka,1,US,1581400985,100,40.8,-124.16,43.0,3.36
Magistralnyy,100,RU,1581401219,72,56.17,107.45,11.48,5.77
Rio Cuarto,6,AR,1581401219,60,-33.13,-64.35,63.7,10.16
Lagos,3,NG,1581400968,94,6.58,3.75,78.8,3.56
Namatanai,95,PG,1581401219,75,-3.67,152.43,84.09,11.36
Bathurst,98,AU,1581401220,59,-33.42,149.58,73.0,1.01
Atar,0,MR,1581401220,15,20.52,-13.05,62.51,11.25
Kadiri,62,IN,1581401220,41,14.12,78.17,80.98,14.25
Qandala,4,SO,1581401221,66,11.47,49.87,73.08,3.62
Manaure,0,CO,1581401221,79,11.78,-72.44,77.58,30.53
Torit,15,SS,1581401221,17,4.41,32.57,82.98,7.61
Sorland,100,NO,1581401221,77,67.67,12.69,40.87,17.31
Nouadhibou,0,MR,1581401222,29,20.93,-17.03,66.2,17.22
Basco,59,PH,1581401222,72,20.45,121.97,72.48,19.53
Opuwo,0,NA,1581401222,36,-18.06,13.84,66.85,8.19
Bo Phloi,36,TH,1581401222,33,14.32,99.52,90.91,9.75
Kukshi,0,IN,1581401222,32,22.2,74.75,81.23,6.24
Wajima,75,JP,1581401223,48,37.4,136.9,41.0,4.7
Kita,0,ML,1581400924,20,13.03,-9.49,67.77,4.63
Wainwright,100,CA,1581401223,84,52.84,-110.86,22.5,11.21
Tigil,100,RU,1581401223,89,57.8,158.67,4.5,13.87
Saint George's,75,GD,1581401223,74,12.06,-61.75,78.8,11.41
Fairbanks,90,US,1581401132,83,64.84,-147.72,-4.0,5.82
Katsuura,20,JP,1581401224,31,35.13,140.3,54.0,4.7
Rawson,24,AR,1581401224,61,-43.3,-65.1,69.03,23.96
Mateus Leme,75,BR,1581401224,88,-19.99,-44.43,69.8,1.88
Nuuk,94,GL,1581401225,61,64.18,-51.72,12.2,17.22
Tura,0,IN,1581401225,31,25.52,90.22,76.69,6.67
Chu,100,KZ,1581401226,94,43.6,73.76,30.0,4.54
Murray Bridge,0,AU,1581401195,85,-35.12,139.27,81.0,3.0
Tautira,40,PF,1581401226,70,-17.73,-149.15,84.2,3.36
Kavieng,100,PG,1581401226,79,-2.57,150.8,83.08,16.82
Peniche,40,PT,1581401226,93,39.36,-9.38,57.0,3.36
Assiut,0,EG,1581401227,70,27.18,31.18,44.6,8.05
Fruitville,20,US,1581401228,94,27.33,-82.46,72.0,5.82
Kibre Mengist,0,ET,1581401228,42,5.88,38.98,72.86,1.05
Lakatoro,75,VU,1581401228,94,-16.1,167.42,82.4,9.17
Bondo,9,CD,1581401228,21,3.81,23.69,72.84,6.58
Zanesville,90,US,1581401228,93,39.94,-82.01,39.2,4.7
Cochrane,1,CA,1581401229,78,51.18,-114.47,26.01,2.24
Sinazongwe,73,ZM,1581401229,86,-17.26,27.46,75.45,8.97
Fengcheng,100,CN,1581401229,71,40.45,124.07,36.86,3.47
Fortuna,1,US,1581401230,100,40.6,-124.16,43.0,3.36
Hualmay,100,PE,1581401230,79,-11.1,-77.61,70.32,4.61
Cotonou,40,BJ,1581401230,94,6.37,2.42,78.8,2.24
Kota Belud,75,MY,1581401185,66,6.35,116.43,89.6,3.36
Soubre,90,CI,1581401231,85,5.79,-6.61,75.07,1.19
Sabya,75,SA,1581401232,73,17.15,42.63,77.0,6.93
Adancata,46,RO,1581401232,74,47.73,26.3,36.0,8.05
Mogadishu,75,SO,1581401232,69,2.04,45.34,80.6,6.93
Mahon,1,ES,1581401232,100,39.89,4.27,53.6,5.82
Tocopilla,86,CL,1581401233,59,-22.09,-70.2,58.6,1.52
Milledgeville,90,US,1581401233,87,33.08,-83.23,66.2,8.68
Leshukonskoye,100,RU,1581401233,89,64.9,45.76,30.49,13.85
Gawler,20,AU,1581401234,60,-34.6,138.73,81.0,24.16
Buy,100,RU,1581401234,91,58.48,41.53,26.51,16.22
Sioux Lookout,40,CA,1581401234,85,50.1,-91.92,17.6,6.93
Hohhot,0,CN,1581401234,33,40.81,111.65,44.6,2.24
Rapar,0,IN,1581401235,21,23.57,70.63,78.66,9.01
Ginir,0,ET,1581401235,31,7.13,40.7,71.26,2.51
Bengbu,100,CN,1581401235,92,32.94,117.36,49.08,4.7
Agen,100,FR,1581401235,81,44.2,0.63,55.0,12.75
Sarany,100,RU,1581401235,94,58.5,58.88,11.98,14.16
Nome,1,US,1581400955,68,64.5,-165.41,-17.0,4.14
Prainha,2,BR,1581401236,99,-1.8,-53.48,72.55,2.28
Mudon,50,MM,1581401237,38,16.26,97.72,88.45,7.38
Waingapu,96,ID,1581401237,69,-9.66,120.26,83.52,8.9
Merauke,75,ID,1581401238,83,-8.47,140.33,82.76,13.2
Moose Jaw,5,CA,1581401238,84,50.4,-105.53,8.6,8.05
Mana,26,GF,1581401238,98,5.66,-53.78,72.81,2.08
Kangaatsiaq,64,GL,1581401238,95,68.31,-53.46,2.48,12.41
Carutapera,88,BR,1581401238,81,-1.2,-46.02,80.65,12.93
Biscarrosse,90,FR,1581401239,82,44.39,-1.17,55.4,11.41
Mogok,14,MM,1581401239,39,22.92,96.5,74.52,4.65
Huilong,100,CN,1581401239,95,31.81,121.66,52.0,4.0
Thomaston,90,US,1581401239,100,32.89,-84.33,66.2,8.59
Batemans Bay,62,AU,1581401239,86,-35.72,150.18,78.01,5.01
Andros Town,12,BS,1581401241,64,24.7,-77.77,73.99,10.04
Ubari,0,LY,1581401241,43,26.59,12.78,46.36,3.67
Terney,52,RU,1581401242,52,45.05,136.61,28.72,3.44
Great Falls,1,US,1581401242,73,47.5,-111.3,25.0,14.99
Klichka,80,RU,1581401242,87,50.45,118.0,15.35,2.06
Kandrian,97,PG,1581401243,79,-6.22,149.55,81.23,11.74
Port Hardy,75,CA,1581401243,100,50.7,-127.42,37.4,6.93
Iskateley,100,RU,1581401244,93,67.68,53.15,30.36,20.02
Birjand,20,IR,1581401244,34,32.87,59.22,53.6,13.87
Bontang,100,ID,1581401244,66,0.13,117.5,83.57,8.66
Pangai,75,TO,1581401244,88,-19.8,-174.35,80.6,9.17
Kiryat Gat,75,IL,1581401245,81,31.61,34.76,48.0,8.05
Sosva,76,RU,1581401245,87,59.18,61.86,18.84,11.18
Salinas,1,US,1581401104,48,36.68,-121.66,53.01,2.66
Macapa,75,BR,1581400954,100,0.04,-51.07,78.8,5.82
Yenagoa,26,NG,1581401245,97,4.92,6.26,73.65,3.22
Cuiluan,45,CN,1581401246,81,47.72,128.65,29.64,12.3
Khorinsk,100,RU,1581401246,79,52.17,109.77,27.25,2.93
Arlit,27,NE,1581401246,15,18.74,7.39,62.73,13.0
Darhan,0,MN,1581401246,69,49.49,105.92,28.2,1.57
Zhalantun,9,CN,1581401247,84,48.0,122.72,17.74,3.69
Faya,75,SA,1581401247,93,18.39,42.45,57.2,18.34
Bethanien,0,NA,1581401247,40,-26.5,17.16,72.79,2.46
Den Helder,90,NL,1581401247,71,52.96,4.76,43.0,38.03
Santa Maria,0,BR,1581401247,87,-29.68,-53.81,58.62,4.16
Pangnirtung,100,CA,1581401248,96,66.15,-65.71,-26.7,2.57
Camana,98,PE,1581401248,84,-16.62,-72.71,66.29,1.68
Marsaxlokk,0,MT,1581401248,76,35.84,14.54,57.99,12.75
Madang,100,PG,1581401248,78,-5.22,145.8,84.22,15.43
Yurgamysh,0,RU,1581401248,87,55.37,64.47,8.58,8.79
Qarqin,91,AF,1581401249,73,37.42,66.04,54.41,15.05
Andrelandia,100,BR,1581401249,97,-21.74,-44.31,64.92,1.9
Quatre Cocos,40,MU,1581401249,94,-20.21,57.76,81.0,13.87
Dubai,20,AE,1581401249,73,25.26,55.3,71.6,10.29
San-Pedro,100,CI,1581401249,79,4.75,-6.64,82.13,11.92
Inhambane,96,MZ,1581401250,75,-23.86,35.38,82.36,10.8
Alexandria,40,EG,1581401153,93,31.22,29.96,51.8,4.7
Canoa,0,DO,1581401250,89,18.36,-71.16,67.41,2.46
Prelouc,40,CZ,1581401250,65,50.04,15.56,41.0,24.16
Kirakira,100,SB,1581401250,76,-10.45,161.92,82.98,9.53
Olkhovka,46,RU,1581401251,89,53.21,60.61,11.32,13.33
Avanuorri,75,NO,1581401251,96,71.0,24.66,33.8,13.87
Morehead,90,US,1581401251,100,37.27,-87.18,39.99,8.05
Goderich,67,CA,1581401046,89,43.75,-81.72,30.0,1.01
Wanaque,90,US,1581401251,93,41.04,-74.29,45.0,2.37
Lucea,20,JM,1581401252,78,18.45,-78.17,77.0,4.7
Elizabeth City,90,US,1581401252,88,36.29,-76.25,64.4,9.17
